title,description,text,category,priority
Large pothole causing accidents,Large pothole causing accidents near Ward 1 needs urgent repair,large pothole causing accidents. large pothole causing accidents near ward 1 needs urgent repair,Roads,High
Street lights not working,Street lights not working near Bus Stand causing safety concern,street lights not working. street lights not working near bus stand causing safety concern,Electricity,Medium
Wires tangled,Wires tangled near pole near Sector 7 need organization,wires tangled. wires tangled near pole near sector 7 need organization,Electricity,Low
Electric box rusted,Electric box rusted near Residential Colony needs maintenance,electric box rusted. electric box rusted near residential colony needs maintenance,Electricity,Low
Water pipe repair,Water pipe repair needed near Residential Colony - this is about water supply not sanitation,water pipe repair. water pipe repair needed near residential colony - this is about water supply not sanitation,Water,Low
Electric sparks during rain,Electric sparks during rain near Near Hospital causing fire risk,electric sparks during rain. electric sparks during rain near near hospital causing fire risk,Electricity,High
Water overflow from tank,Water overflow from tank near Near School wasting water,wter overflow from tnk. watr ovrflow from tank nr nr schol wastng water,Water,Medium
Waste collection delayed,Waste collection delayed by one day near Sector 5,waste collection delayed. waste collection delayed by one day near sector 5,Sanitation,Low
Minor garbage scattered,Minor garbage scattered near Near School needs cleanup,minor garbage scattered. minor garbage scattered near near school needs cleanup,Sanitation,Low
Dead animal on road,Dead animal lying on road near Sector 7 needs immediate removal,dead animal on road. dead animal lying on road near sector 7 needs immediate removal,Sanitation,High
Dead animal on road,Dead animal lying on road near Main Road needs immediate removal,dead animal on road. dead animal lying on road near main road needs immediate removal,Sanitation,High
Overflowing dustbin,Overflowing dustbin near Ward 1 needs attention,overflowing dustbin. overflowing dustbin near ward 1 needs attention,Sanitation,Medium
Irregular water supply,Water supply irregular near Bus Stand causing inconvenience,irregular water supply. water supply irregular near bus stand causing inconvenience,Water,Medium
Slow water flow,Slow water flow near Market Area needs pressure check,slow water flow. slow water flow near market area needs pressure check,Water,Low
Dry leaves accumulated,Dry leaves accumulated near Bus Stand need removal,dry leaves accumulated. dry leaves accumulated near bus stand need removal,Sanitation,Low
Street light not working,Street light not working near Market Area - this is about electricity not water supply,street light not working. street light not working near market area - this is about electricity not water supply,Electricity,Low
Open sewage overflow,Sewage overflowing near Near School causing health risk and foul smell,open sewage overflow. sewage overflowing near near school causing health risk and foul smell,Sanitation,High
Open sewage overflow,Sewage overflowing near Ward 3 causing health risk and foul smell,open sewage overflow. sewage overflowing near ward 3 causing health risk and foul smell,Sanitation,High
Water light issue,Water supply issue with light pressure near Near School - this is about water not electricity,water light issue. water supply issue with light pressure near near school - this is about water not electricity,Water,Medium
Road collapsed,Road collapsed near Ward 2 causing danger to vehicles,road collapsed. road collapsed near ward to causing danger to vehicles,Roads,High
Water pipeline burst,Water pipeline burst near Sector 7 flooding the area,water pipeline burst. water pipeline burst near sector 7 flooding the area,Water,High
Sewage pipe burst,Sewage pipe burst near Main Road - this is about sanitation not water supply,sewage pipe burst. sewage pipe burst near main road - this is about sanitation not water supply,Sanitation,Medium
Dry leaves accumulated,Dry leaves accumulated near Bus Stand need removal,dry leaves accumulated. dry leaves accumulated near bus stand need removal,Sanitation,Low
Water supply issue,Water supply issue near Residential Colony - this is about water not electricity,water supply issue. water supply issue near residential colony - this is about water not electricity,Water,Low
Water contamination,Water contamination causing illness near Near Hospital,water contamination. water contamination causing illness near near hospital,Water,High
Irregular garbage collection,Garbage collection irregular near Residential Colony causing inconvenience,irregular garbage collection. garbage collection irregular near residential colony causing inconvenience,Sanitation,Medium
Open sewage overflow,Sewage overflowing near Ward 3 causing health risk and foul smell,open sewage overflow. sewage overflowing near ward 3 causing health risk and foul smell,Sanitation,High
Minor garbage scattered,Minor garbage scattered near Bus Stand needs cleanup,minor garbage scattered. minor garbage scattered near bus stand needs cleanup,Sanitation,Low
Faded road markings,Faded road markings near Market Area need repainting,faded road markings. faded road markings near market area need repainting,Roads,Low
Water leakage,Water leakage near Main Road wasting water,wter lekage. watr lakge near mn road wasting water,Water,Medium
Low water pressure,Low water pressure near Ward 1 affecting daily use,low water pressure. low water pressure near ward 1 affecting daily use,Water,Medium
Open sewage overflow,Sewage overflowing near Sector 5 causing health risk and foul smell,open sewage overflow. sewage overflowing near sector 5 causing health risk and foul smell,Sanitation,High
Garbage not collected,Garbage not collected for many days near Ward 2 causing health hazard,garbage not collected. garbage not collected for many days near ward to causing health hazard,Sanitation,High
Minor tap leakage,Minor leakage from tap near Market Area needs fixing,minor tap leakage. minor leakage from tap near market area needs fixing,Water,Low
Electric pole blocking road,Electric pole blocking road near Residential Colony - this is about electricity infrastructure not road repair,electric pole blocking road. electric pole blocking road near residential colony - this is about electricity infrastructure not road repair,Electricity,Medium
Major leakage flooding,Major leakage flooding road near Ward 3 blocking traffic,major leakage flooding. major leakge floodng rod ner ward 3 blcking trffic,Water,High
Water timing delay,Water timing delay near Sector 5 causing minor inconvenience,water timing delay. water timing delay near sector 5 causing minor inconvenience,Water,Low
Street light dim,Street light dim near Ward 1 needs bulb replacement,street light dim. street light dim near ward 1 needs bulb replacement,Electricity,Low
Dry leaves accumulated,Dry leaves accumulated near Main Road need removal,dry leaves accumulated. dry leaves accumulated near main road need removal,Sanitation,Low
Irregular garbage collection,Garbage collection irregular near Main Road causing inconvenience,irregular garbage collection. garbage collection irregular near main road causing inconvenience,Sanitation,Medium
Traffic pole bent,Traffic pole bent near Ward 3 - this is about road infrastructure not electricity,traffic pole bent. traffic pole bent near ward 3 - this is about road infrastructure not electricity,Roads,Medium
Garbage not collected,Garbage not collected for many days near Ward 1 causing health hazard,garbage not collected. garbage not collected for many days near ward 1 causing health hazard,Sanitation,High
Old electric pole,Old electric pole near Residential Colony needs replacement,old electric pole. old electric pole near residential colony needs replacement,Electricity,Low
Broken footpath,Broken footpath near Residential Colony causing pedestrian inconvenience,broken footpath. broken footpath near residential colony causing pedestrian inconvenience,Roads,Medium
Street lights not working,Street lights not working near Main Road causing safety concern,street lights not working. street lights not working near main road causing safety concern,Electricity,Medium
Road flooded blocking traffic,Road flooded near Near School blocking traffic completely,road flooded blocking traffic. road flooded near near school blocking traffic completely,Roads,High
Faded road markings,Faded road markings near Main Road need repainting,faded road markings. faded road markings near main road need repainting,Roads,Low
Electric pole blocking road,Electric pole blocking road near Market Area - this is about electricity infrastructure not road repair,electric pole blocking road. electric pole blocking road near market area - this is about electricity infrastructure not road repair,Electricity,Low
Street light dim,Street light dim near Near Hospital needs bulb replacement,strt lght dm. stret light dim near near hospital neds blb replcement,Electricity,Low
Waste collection delayed,Waste collection delayed by one day near Residential Colony,waste collection delayed. waste collection delayed by one day near residential colony,Sanitation,Low
Frequent power cuts,Frequent power cuts near Ward 1 affecting daily life,frequent power cuts. frequent power cuts near ward 1 affecting daily life,Electricity,Medium
Sewage entering houses,Sewage water entering houses near Residential Colony causing property damage,sewage entering houses. sewage water entering houses near residential colony causing property damage,Sanitation,High
High voltage fluctuation,High voltage fluctuation damaging appliances near Ward 3,high voltage fluctuaton. hgh voltge fluctuatin damging appliancs near ward 3,Electricity,High
Overflowing dustbin,Overflowing dustbin near Ward 1 needs attention,overflowing dustbin. overflowing dustbin near ward 1 needs attention,Sanitation,Medium
Small crack on road,Small crack on road near Near School needs repair,small crack on road. small crack on road near near school needs repair,Roads,Low
Small crack on road,Small crack on road near Ward 2 needs repair,small crack on road. small crack on road near ward to needs repair,Roads,Low
Water light issue,Water supply issue with light pressure near Market Area - this is about water not electricity,water light issue. water supply issue with light pressure near market area - this is about water not electricity,Water,Low
Water overflow from tank,Water overflow from tank near Ward 1 wasting water,water overflow from tank. water overflow from tank near ward 1 wasting water,Water,Medium
Water leakage,Water leakage near Sector 5 wasting water,water leakage. water leakage near sector 5 wasting water,Water,Medium
Loose gravel on road,Loose gravel on road near Main Road causing skidding,loose gravel on road. loose gravel on road near main road causing skidding,Roads,Medium
Transformer blast,Transformer blast reported near Ward 3 causing power failure,transformer blast. transformer blast reported near ward 3 causing power failure,Electricity,High
Loose gravel on road,Loose gravel on road near Market Area causing skidding,loose gravel on road. loose gravel on road near market area causing skidding,Roads,Medium
Street light covered,Street light covered by tree branches near Market Area,street light covered. street light covered by tree branches near market area,Electricity,Low
Broken dustbin lid,Dustbin lid broken near Sector 5 needs repair,broken dustbin lid. dustbin lid broken near sector 5 needs repair,Sanitation,Low
Road collapsed,Road collapsed near Market Area causing danger to vehicles,road collapsed. road collapsed near market area causing danger to vehicles,Roads,High
Overflowing dustbin,Overflowing dustbin near Ward 3 needs attention,overflowing dustbin. overflowing dustbin near ward 3 needs attention,Sanitation,Medium
Street lights not working,Street lights not working near Ward 3 causing safety concern,street lights not working. street lights not working near ward 3 causing safety concern,Electricity,Medium
Dirty public toilet,Public toilet dirty near Bus Stand requires cleaning,dirty public toilet. public toilet dirty near bus stand requires cleaning,Sanitation,Medium
Dead animal on road,Dead animal lying on road near Near School needs immediate removal,dead animal on road. dead animal lying on road near near school needs immediate removal,Sanitation,High
Water supply issue,Water supply issue near Ward 2 - this is about water not electricity,water supply issue. water supply issue near ward to - this is about water not electricity,Water,Medium
Small crack on road,Small crack on road near Residential Colony needs repair,small crack on road. small crack on road near residential colony needs repair,Roads,Low
Old electric pole,Old electric pole near Near Hospital needs replacement,old electric pole. old electric pole near near hospital needs replacement,Electricity,Low
Electric sparks during rain,Electric sparks during rain near Near Hospital causing fire risk,electric sparks during rain. electric sparks during rain near near hospital causing fire risk,Electricity,High
Manhole overflow,Manhole overflow near Residential Colony spreading foul smell and health risk,manhole overflow. manhole overflow near residential colony spreading foul smell and health risk,Sanitation,High
Road flooded blocking traffic,Road flooded near Sector 5 blocking traffic completely,road flooded blocking traffic. road flooded near sector 5 blocking traffic completely,Roads,High
Water overflow from tank,Water overflow from tank near Ward 3 wasting water,water overflow from tank. water overflow from tank near ward 3 wasting water,Water,Medium
Water timing delay,Water timing delay near Ward 2 causing minor inconvenience,water timing delay. water timing delay near ward to causing minor inconvenience,Water,Low
Water leakage,Water leakage near Ward 3 wasting water,water leakage. water leakage near ward 3 wasting water,Water,Medium
Frequent power cuts,Frequent power cuts near Near Hospital affecting daily life,frequent power cuts. frequent power cuts near near hospital affecting daily life,Electricity,Medium
Water overflow from drain,Water overflow from drain near Ward 3 - this is about sanitation drainage not water supply,water overflow from drain. water overflow from drain near ward 3 - this is about sanitation drainage not water supply,Sanitation,High
Water contamination,Water contamination causing illness near Sector 7,water contamination. water contamination causing illness near sector 7,Water,High
Loose gravel on road,Loose gravel on road near Ward 3 causing skidding,loose gravel on road. loose gravel on road near ward 3 causing skidding,Roads,Medium
Water pressure fluctuates,Water pressure fluctuates slightly near Sector 5,water pressure fluctuates. water pressure fluctuates slightly near sector 5,Water,Low
Dead animal on road,Dead animal lying on road near Ward 1 needs immediate removal,dead animal on road. dead animal lying on road near ward 1 needs immediate removal,Sanitation,High
Street lights not working,Street lights not working near Market Area causing safety concern,street lights not working. street lights not working near market area causing safety concern,Electricity,Medium
Open sewage overflow,Sewage overflowing near Near Hospital causing health risk and foul smell,open sewage overflow. sewage overflowing near near hospital causing health risk and foul smell,Sanitation,High
Electric pole fallen,Electric pole fallen near Ward 1 causing power outage and risk,electric pole fallen. electric pole fallen near ward 1 causing power outage and risk,Electricity,High
Slow water flow,Slow water flow near Main Road needs pressure check,slow water flow. slow water flow near main road needs pressure check,Water,Low
Electric pole blocking road,Electric pole blocking road near Ward 2 - this is about electricity infrastructure not road repair,electric pole blocking road. electric pole blocking road near ward to - this is about electricity infrastructure not road repair,Electricity,Medium
Frequent power cuts,Frequent power cuts near Main Road affecting daily life,frequent power cuts. frequent power cuts near main road affecting daily life,Electricity,Medium
Broken footpath,Broken footpath near Near Hospital causing pedestrian inconvenience,broken footpath. broken footpath near near hospital causing pedestrian inconvenience,Roads,Medium
Electric pole fallen,Electric pole fallen near Near Hospital causing power outage and risk,electric pole fallen. electric pole fallen near near hospital causing power outage and risk,Electricity,High
Water pipe repair,Water pipe repair needed near Ward 1 - this is about water supply not sanitation,water pipe repair. water pipe repair needed near ward 1 - this is about water supply not sanitation,Water,Medium
Traffic pole bent,Traffic pole bent near Main Road - this is about road infrastructure not electricity,traffic pole bent. traffic pole bent near main road - this is about road infrastructure not electricity,Roads,Low
Electric pole damaged,Electric pole damaged near Ward 1 - this is about electricity not road infrastructure,electric pole damaged. electric pole damaged near ward 1 - this is about electricity not road infrastructure,Electricity,Medium
Uneven road,Uneven road slowing traffic near Ward 3 needs leveling,uneven road. uneven road slowing traffic near ward 3 needs leveling,Roads,Medium
Water pipeline burst,Water pipeline burst near Sector 7 flooding the area,water pipeline burst. water pipeline burst near sector 7 flooding the area,Water,High
Water overflow from tank,Water overflow from tank near Ward 2 wasting water,water overflow from tank. water overflow from tank near ward to wasting water,Water,Medium
Bad smell from bins,Bad smell from waste bins near Near Hospital affecting residents,bad smell from bins. bad smell from waste bins near near hospital affecting residents,Sanitation,Medium
Bent road sign,Road sign slightly bent near Ward 2 needs straightening,bent road sign. road sign slightly bent near ward to needs straightening,Roads,Low
Stagnant water breeding,Stagnant water breeding mosquitoes near Residential Colony - this is about sanitation not water supply,stagnant water breeding. stagnant water breeding mosquitoes near residential colony - this is about sanitation not water supply,Sanitation,Low
Sewage entering houses,Sewage water entering houses near Ward 2 causing property damage,sewage entering houses. sewage water entering houses near ward to causing property damage,Sanitation,High
Major leakage flooding,Major leakage flooding road near Ward 2 blocking traffic,major leakage flooding. major leakage flooding road near ward to blocking traffic,Water,High
Waste collection delayed,Waste collection delayed by one day near Main Road,waste collection delayed. waste collection delayed by one day near main road,Sanitation,Low
Electric box rusted,Electric box rusted near Ward 1 needs maintenance,electric box rusted. electric box rusted near ward 1 needs maintenance,Electricity,Low
Water contamination,Water contamination causing illness near Ward 3,water contamination. water contamination causing illness near ward 3,Water,High
Water pipeline burst,Water pipeline burst near Sector 5 flooding the area,water pipeline burst. water pipeline burst near sector 5 flooding the area,Water,High
Deep pit on road,Deep pit on road near Ward 3 causing vehicle damage,deep pit on road. deep pit on road near ward 3 causing vehicle damage,Roads,High
Uneven road,Uneven road slowing traffic near Ward 1 needs leveling,uneven road. uneven road slowing traffic near ward 1 needs leveling,Roads,Medium
Garbage not collected,Garbage not collected for many days near Ward 1 causing health hazard,garbage not collected. garbage not collected for many days near ward 1 causing health hazard,Sanitation,High
Water pipeline burst,Water pipeline burst near Ward 1 flooding the area,water pipeline burst. water pipeline burst near ward 1 flooding the area,Water,High
Bridge damaged,Bridge damaged near Bus Stand requires immediate attention,bridge damaged. bridge damaged near bus stand requires immediate attention,Roads,High
Bridge damaged,Bridge damaged near Sector 5 requires immediate attention,bridge damaged. bridge damaged near sector 5 requires immediate attention,Roads,High
Street light covered,Street light covered by tree branches near Ward 2,street light covered. street light covered by tree branches near ward to,Electricity,Low
Frequent power cuts,Frequent power cuts near Ward 2 affecting daily life,frequent power cuts. frequent power cuts near ward to affecting daily life,Electricity,Medium
Bad smell from bins,Bad smell from waste bins near Sector 5 affecting residents,bad smell from bins. bad smell from waste bins near sector 5 affecting residents,Sanitation,Medium
Small crack on road,Small crack on road near Ward 1 needs repair,small crack on road. small crack on road near ward 1 needs repair,Roads,Low
Dry leaves accumulated,Dry leaves accumulated near Sector 5 need removal,dry leaves accumulated. dry leaves accumulated near sector 5 need removal,Sanitation,Low
Low voltage issue,Low voltage issue near Ward 3 affecting electrical appliances,low voltage issue. low voltage issue near ward 3 affecting electrical appliances,Electricity,Medium
Slow water flow,Slow water flow near Ward 1 needs pressure check,slow water flow. slow water flow near ward 1 needs pressure check,Water,Low
No water supply,No water supply for several days near Sector 5 causing hardship,no water supply. no water supply for several days near sector 5 causing hardship,Water,High
Garbage not collected,Garbage not collected for many days near Ward 3 causing health hazard,garbage not collected. garbage not collected for many days near ward 3 causing health hazard,Sanitation,High
Street light blinking,Street light blinking near Sector 5 needs repair,street light blinking. street light blinking near sector 5 needs repair,Electricity,Medium
Electric pole tilted,Electric pole tilted near Near Hospital needs correction,electric pole tilted. electric pole tilted near near hospital needs correction,Electricity,Medium
No water supply,No water supply for several days near Ward 1 causing hardship,no water supply. no water supply for several days near ward 1 causing hardship,Water,High
No water supply,No water supply for several days near Residential Colony causing hardship,no water supply. no water supply for several days near residential colony causing hardship,Water,High
Road lighting problem,Road lighting problem near Ward 1 - this is about electricity infrastructure not road surface,road lighting problem. road lighting problem near ward 1 - this is about electricity infrastructure not road surface,Electricity,Low
Broken dustbin lid,Dustbin lid broken near Near Hospital needs repair,brokn dustbn lid. dstbin lid brken ner near hospital needs rpar,Sanitation,Low
Transformer blast,Transformer blast reported near Sector 7 causing power failure,transformer blast. transformer blast reported near sector 7 causing power failure,Electricity,High
Broken dustbin lid,Dustbin lid broken near Ward 1 needs repair,broken dustbin lid. dustbin lid broken near ward 1 needs repair,Sanitation,Low
Irregular water supply,Water supply irregular near Near Hospital causing inconvenience,irregular water supply. water supply irregular near near hospital causing inconvenience,Water,Medium
Electric sparks during rain,Electric sparks during rain near Near Hospital causing fire risk,electric sparks during rain. electric sparks during rain near near hospital causing fire risk,Electricity,High
Faded road markings,Faded road markings near Sector 5 need repainting,faded road markings. faded road markings near sector 5 need repainting,Roads,Low
Old electric pole,Old electric pole near Near Hospital needs replacement,old electric pole. old electric pole near near hospital needs replacement,Electricity,Low
Sewage pipe burst,Sewage pipe burst near Ward 2 - this is about sanitation not water supply,sewage pipe burst. sewage pipe burst near ward to - this is about sanitation not water supply,Sanitation,High
Bridge damaged,Bridge damaged near Ward 3 requires immediate attention,bridge damaged. bridge damaged near ward 3 requires immediate attention,Roads,High
Water overflow from tank,Water overflow from tank near Residential Colony wasting water,water overflow from tank. water overflow from tank near residential colony wasting water,Water,Medium
Garbage not collected,Garbage not collected for many days near Residential Colony causing health hazard,garbage not collected. garbage not collected for many days near residential colony causing health hazard,Sanitation,High
Water overflow from drain,Water overflow from drain near Bus Stand - this is about sanitation drainage not water supply,water overflow from drain. water overflow from drain near bus stand - this is about sanitation drainage not water supply,Sanitation,Medium
Sewage entering houses,Sewage water entering houses near Ward 1 causing property damage,sewage entering houses. sewage water entering houses near ward 1 causing property damage,Sanitation,High
Minor tap leakage,Minor leakage from tap near Main Road needs fixing,minor tap leakage. minor leakage from tap near main road needs fixing,Water,Low
Electric pole tilted,Electric pole tilted near Sector 5 needs correction,electric pole tilted. electric pole tilted near sector 5 needs correction,Electricity,Medium
Bad smell from bins,Bad smell from waste bins near Ward 3 affecting residents,bad smell from bins. bad smell from waste bins near ward 3 affecting residents,Sanitation,Medium
Overflowing dustbin,Overflowing dustbin near Near Hospital needs attention,overflowing dustbin. overflowing dustbin near near hospital needs attention,Sanitation,Medium
Irregular garbage collection,Garbage collection irregular near Bus Stand causing inconvenience,irregular garbage collection. garbage collection irregular near bus stand causing inconvenience,Sanitation,Medium
Water pressure fluctuates,Water pressure fluctuates slightly near Ward 3,water pressure fluctuates. water pressure fluctuates slightly near ward 3,Water,Low
Minor garbage scattered,Minor garbage scattered near Near School needs cleanup,minor garbage scattered. minor garbage scattered near near school needs cleanup,Sanitation,Low
Broken footpath,Broken footpath near Residential Colony causing pedestrian inconvenience,broken footpath. broken footpath near residential colony causing pedestrian inconvenience,Roads,Medium
Water contamination,Water contamination causing illness near Ward 1,water contamination. water contamination causing illness near ward 1,Water,High
Slow water flow,Slow water flow near Residential Colony needs pressure check,slow water flow. slow watr flow nar resdential clny needs prssure check,Water,Low
High voltage fluctuation,High voltage fluctuation damaging appliances near Main Road,high voltage fluctuation. high voltage fluctuation damaging appliances near main road,Electricity,High
Old electric pole,Old electric pole near Sector 7 needs replacement,old electric pole. old electric pole near sector 7 needs replacement,Electricity,Low
Irregular garbage collection,Garbage collection irregular near Sector 5 causing inconvenience,irregular garbage collection. garbage collection irregular near sector 5 causing inconvenience,Sanitation,Medium
Water contamination,Water contamination causing illness near Sector 5,water contamination. water contamination causing illness near sector 5,Water,High
Water pipeline burst,Water pipeline burst near Near School flooding the area,water pipeline burst. water pipeline burst near near school flooding the area,Water,High
Bent road sign,Road sign slightly bent near Ward 3 needs straightening,bent road sign. road sign slightly bent near ward 3 needs straightening,Roads,Low
Sewage pipe burst,Sewage pipe burst near Near School - this is about sanitation not water supply,sewage pipe burst. sewage pipe burst near near school - this is about sanitation not water supply,Sanitation,High
Street lights not working,Street lights not working near Near School causing safety concern,street lights not working. street lights not working near near school causing safety concern,Electricity,Medium
Water overflow from drain,Water overflow from drain near Ward 1 - this is about sanitation drainage not water supply,water overflow from drain. water overflow from drain near ward 1 - this is about sanitation drainage not water supply,Sanitation,Low
Water leakage,Water leakage near Near Hospital wasting water,water leakage. water leakage near near hospital wasting water,Water,Medium
Water pipe repair,Water pipe repair needed near Sector 7 - this is about water supply not sanitation,water pipe repair. water pipe repair needed near sector 7 - this is about water supply not sanitation,Water,High
Broken dustbin lid,Dustbin lid broken near Residential Colony needs repair,brkn dstbin lid. dustbin lid brokn ner residntal colony neds rpr,Sanitation,Low
Uneven road,Uneven road slowing traffic near Bus Stand needs leveling,uneven road. uneven road slowing traffic near bus stand needs leveling,Roads,Medium
Sewage pipe burst,Sewage pipe burst near Residential Colony - this is about sanitation not water supply,sewage pipe burst. sewage pipe burst near residential colony - this is about sanitation not water supply,Sanitation,Low
Manhole overflow,Manhole overflow near Ward 1 spreading foul smell and health risk,manhole overflow. manhole overflow near ward 1 spreading foul smell and health risk,Sanitation,High
Major leakage flooding,Major leakage flooding road near Near School blocking traffic,major leakage flooding. major leakage flooding road near near school blocking traffic,Water,High
Uneven road,Uneven road slowing traffic near Sector 5 needs leveling,uneven road. uneven road slowing traffic near sector 5 needs leveling,Roads,Medium
Frequent power cuts,Frequent power cuts near Ward 1 affecting daily life,frequent power cuts. frequent power cuts near ward 1 affecting daily life,Electricity,Medium
Public tap not working,Public tap not working near Ward 3 needs repair,public tap not working. public tap not working near ward 3 needs repair,Water,Medium
Wires tangled,Wires tangled near pole near Main Road need organization,wires tangled. wires tangled near pole near main road need organization,Electricity,Low
Uneven road,Uneven road slowing traffic near Near Hospital needs leveling,uneven road. uneven road slowing traffic near near hospital needs leveling,Roads,Medium
Water overflow from drain,Water overflow from drain near Near Hospital - this is about sanitation drainage not water supply,water overflow from drain. water overflow from drain near near hospital - this is about sanitation drainage not water supply,Sanitation,Medium
Street light dim,Street light dim near Ward 1 needs bulb replacement,street light dim. street light dim near ward 1 needs bulb replacement,Electricity,Low
Water overflow from drain,Water overflow from drain near Market Area - this is about sanitation drainage not water supply,water overflow from drain. water overflow from drain near market area - this is about sanitation drainage not water supply,Sanitation,High
Sewage pipe burst,Sewage pipe burst near Near School - this is about sanitation not water supply,sewage pipe burst. sewage pipe burst near near school - this is about sanitation not water supply,Sanitation,Low
Large pothole causing accidents,Large pothole causing accidents near Bus Stand needs urgent repair,large pothole causing accidents. large pothole causing accidents near bus stand needs urgent repair,Roads,High
Electric box rusted,Electric box rusted near Ward 1 needs maintenance,electric box rusted. electric box rusted near ward 1 needs maintenance,Electricity,Low
Dirty drinking water,Dirty drinking water supplied near Ward 3 causing health risk,dirty drinking water. dirty drinking water supplied near ward 3 causing health risk,Water,High
Large pothole causing accidents,Large pothole causing accidents near Near Hospital needs urgent repair,large pothole causing accidents. large pothole causing accidents near near hospital needs urgent repair,Roads,High
Water leakage,Water leakage near Ward 2 wasting water,water leakage. water leakage near ward to wasting water,Water,Medium
Water overflow from drain,Water overflow from drain near Sector 5 - this is about sanitation drainage not water supply,water overflow from drain. water overflow from drain near sector 5 - this is about sanitation drainage not water supply,Sanitation,High
Road surface cracks,Road surface cracks near Market Area need patching,road surface cracks. road surface cracks near market area need patching,Roads,Medium
Street light dim,Street light dim near Main Road needs bulb replacement,street light dim. street light dim near main road needs bulb replacement,Electricity,Low
Overflowing dustbin,Overflowing dustbin near Bus Stand needs attention,overflowing dustbin. overflowing dustbin near bus stand needs attention,Sanitation,Medium
Overflowing dustbin,Overflowing dustbin near Ward 3 needs attention,overflowing dustbin. overflowing dustbin near ward 3 needs attention,Sanitation,Medium
Live wire exposed,Live electric wire exposed near Sector 7 causing extreme danger,live wre exposed. live electric wire exposed ner sector 7 csng extreme dangr,Electricity,High
Street light dim,Street light dim near Residential Colony needs bulb replacement,street light dim. street light dim near residential colony needs bulb replacement,Electricity,Low
Power supply problem,Power supply problem near Near School - this is about electricity not water,power supply problem. power supply problem near near school - this is about electricity not water,Electricity,Low
Dirty public toilet,Public toilet dirty near Sector 5 requires cleaning,dirty public toilet. public toilet dirty near sector 5 requires cleaning,Sanitation,Medium
Low voltage issue,Low voltage issue near Residential Colony affecting electrical appliances,low voltage issue. low voltage issue near residential colony affecting electrical appliances,Electricity,Medium
Slow water flow,Slow water flow near Ward 1 needs pressure check,slow water flow. slow water flow near ward 1 needs pressure check,Water,Low
Dead animal on road,Dead animal lying on road near Ward 3 needs immediate removal,dead animal on road. dead animal lying on road near ward 3 needs immediate removal,Sanitation,High
Electric pole fallen,Electric pole fallen near Bus Stand causing power outage and risk,electric pole fallen. electric pole fallen near bus stand causing power outage and risk,Electricity,High
Minor tap leakage,Minor leakage from tap near Residential Colony needs fixing,minor tap leakage. minor leakage from tap near residential colony needs fixing,Water,Low
Open sewage overflow,Sewage overflowing near Near School causing health risk and foul smell,open sewage overflow. sewage overflowing near near school causing health risk and foul smell,Sanitation,High
Electric sparks during rain,Electric sparks during rain near Bus Stand causing fire risk,electric sparks during rain. electric sparks during rain near bus stand causing fire risk,Electricity,High
Faded road markings,Faded road markings near Bus Stand need repainting,faded road markings. faded road markings near bus stand need repainting,Roads,Low
Electric pole tilted,Electric pole tilted near Ward 3 needs correction,electric pole tilted. electric pole tilted near ward 3 needs correction,Electricity,Medium
Broken footpath,Broken footpath near Near School causing pedestrian inconvenience,brken fotpath. brokn ftpath ner ner school causing pedestrin inconvenience,Roads,Medium
Stagnant water breeding,Stagnant water breeding mosquitoes near Ward 2 - this is about sanitation not water supply,stagnant water breeding. stagnant water breeding mosquitoes near ward to - this is about sanitation not water supply,Sanitation,Medium
Water pipe repair,Water pipe repair needed near Market Area - this is about water supply not sanitation,water pipe repair. water pipe repair needed near market area - this is about water supply not sanitation,Water,Low
Street light covered,Street light covered by tree branches near Ward 1,street light covered. street light covered by tree branches near ward 1,Electricity,Low
Street lights not working,Street lights not working near Main Road causing safety concern,street lights not working. street lights not working near main road causing safety concern,Electricity,Medium
Water timing delay,Water timing delay near Ward 2 causing minor inconvenience,water timing delay. water timing delay near ward to causing minor inconvenience,Water,Low
Large pothole causing accidents,Large pothole causing accidents near Near School needs urgent repair,large pothole causing accidents. large pothole causing accidents near near school needs urgent repair,Roads,High
Public tap not working,Public tap not working near Bus Stand needs repair,public tap not working. public tap not working near bus stand needs repair,Water,Medium
Water pressure fluctuates,Water pressure fluctuates slightly near Sector 5,water pressure fluctuates. water pressure fluctuates slightly near sector 5,Water,Low
Stagnant water breeding,Stagnant water breeding mosquitoes near Near School - this is about sanitation not water supply,stagnant water breeding. stagnant water breeding mosquitoes near near school - this is about sanitation not water supply,Sanitation,Low
Electric pole tilted,Electric pole tilted near Ward 2 needs correction,electric pole tilted. electric pole tilted near ward to needs correction,Electricity,Medium
Water timing delay,Water timing delay near Ward 1 causing minor inconvenience,water timing delay. water timing delay near ward 1 causing minor inconvenience,Water,Low
Irregular water supply,Water supply irregular near Market Area causing inconvenience,irregular water supply. water supply irregular near market area causing inconvenience,Water,Medium
Minor road patch damage,Minor road patch damage near Main Road needs attention,minor road patch damage. minor road patch damage near main road needs attention,Roads,Low
Bridge damaged,Bridge damaged near Market Area requires immediate attention,bridge damaged. bridge damaged near market area requires immediate attention,Roads,High
Mosquito breeding,Mosquito breeding due to stagnant water near Main Road,mosquito breeding. mosquito breeding due to stagnant water near main road,Sanitation,Medium
Irregular water supply,Water supply irregular near Ward 1 causing inconvenience,irregular water supply. water supply irregular near ward 1 causing inconvenience,Water,Medium
